Organ,Count,Mean,Median,Q1,Q3
Lung,982,0.6310243998064285,0.30012500286102295,0.1801581010222435,0.7510713040828705
HEP,533,0.7632923182868879,0.2880034744739532,0.1491305083036423,0.7225503325462341
LYM,492,0.9551580580011979,0.5730354189872742,0.22873181477189067,1.1486845612525942
Subcutaneous,134,0.6204494477541589,0.21563368290662766,0.12003171816468237,0.5338816344738007
PLE,106,2.4895888313580796,1.2084107995033264,0.32180923223495483,2.606942594051361
Peritoneum,100,1.0016942299902438,0.32841299474239344,0.1912962719798088,0.8595918715000153
Urology,45,0.5256508679853545,0.2233781516551971,0.111606165766716,0.5441118478775024
OTH,20,2.9982788689434527,1.112880766391754,0.5258727371692657,3.0593022108078
ADR,16,1.256017180159688,1.18866366147995,0.6108745783567429,1.4872007071971893
Thyroid,13,0.8310313975581756,0.3323057591915131,0.2662708759307861,1.121792078018188
Pancrease,13,1.6910645165122473,0.8996758460998535,0.7097439765930176,1.594929575920105
Muscle,10,2.509941148012877,0.9374850392341614,0.3825651854276657,3.8665674924850464
Plevic,8,2.9842646420001984,2.706223487854004,1.7730055153369908,3.60858404636383
Thymus,5,3.0560107231140137,1.965519428253174,0.8158609867095947,3.420934915542603
